Lead_I,Lead_II,Lead_III,Lead_aVR,Lead_aVL,Lead_aVF,Lead_V1,Lead_V2,Lead_V3,Lead_V4,Lead_V5,Lead_V6
-0.32190695386723744,-0.26730770482285493,0.06243815148279847,0.33424949685536687,-0.2280378254025026,-0.12310199581593591,0.1426995360636072,0.028397571852716883,-0.06627132708272473,-0.15274201644559762,-0.2088116796493047,-0.29849394002972296
-0.32190695386723744,-0.26730770482285493,0.06243815148279847,0.33424949685536687,-0.2280378254025026,-0.12310199581593591,0.16919717539213053,0.04733965482562133,-0.031029898648299987,-0.15274201644559762,-0.2088116796493047,-0.2728962735762232
-0.32190695386723744,-0.26730770482285493,0.06243815148279847,0.33424949685536687,-0.2280378254025026,-0.12310199581593591,0.1956948147206539,0.04733965482562133,-0.031029898648299987,-0.15274201644559762,-0.1865901622591994,-0.2728962735762232
-0.2910697139807507,-0.29918262897670245,-0.0038847966581954723,0.33424949685536687,-0.17268259834336652,-0.1804661290956217,0.1956948147206539,0.04733965482562133,-0.031029898648299987,-0.1327028352781157,-0.1865901622591994,-0.2728962735762232
-0.2910697139807507,-0.23543278066900744,0.06243815148279847,0.29869568603459173,-0.20958608304945725,-0.10398061805604064,0.16919717539213053,0.028397571852716883,-0.013409184431087615,-0.1327028352781157,-0.1865901622591994,-0.2728962735762232
-0.2910697139807507,-0.26730770482285493,0.029276677412301503,0.3164725914449793,-0.1911343406964119,-0.14222337357583117,0.1956948147206539,0.028397571852716883,-0.013409184431087615,-0.15274201644559762,-0.1865901622591994,-0.2728962735762232
-0.2910697139807507,-0.26730770482285493,0.029276677412301503,0.3164725914449793,-0.1911343406964119,-0.14222337357583117,0.1956948147206539,0.009455488879812434,-0.013409184431087615,-0.15274201644559762,-0.1865901622591994,-0.2728962735762232
-0.2910697139807507,-0.26730770482285493,0.029276677412301503,0.3164725914449793,-0.1911343406964119,-0.14222337357583117,0.1956948147206539,0.028397571852716883,-0.013409184431087615,-0.15274201644559762,-0.1865901622591994,-0.2728962735762232
-0.2910697139807507,-0.23543278066900744,0.06243815148279847,0.29869568603459173,-0.20958608304945725,-0.10398061805604064,0.22219245404917723,0.028397571852716883,-0.013409184431087615,-0.15274201644559762,-0.1865901622591994,-0.2728962735762232
-0.19855799432129065,-0.29918262897670245,-0.1033692188696864,0.2809187806242042,-0.061972144225094394,-0.2378302623753075,0.1956948147206539,0.009455488879812434,-0.013409184431087615,-0.15274201644559762,-0.1865901622591994,-0.2728962735762232
-0.19855799432129065,-0.26730770482285493,-0.07020774479918943,0.26314187521381666,-0.08042388657813976,-0.19958750685551696,0.1956948147206539,0.009455488879812434,-0.013409184431087615,-0.15274201644559762,-0.1865901622591994,-0.2728962735762232
-0.19855799432129065,-0.26730770482285493,-0.07020774479918943,0.26314187521381666,-0.08042388657813976,-0.19958750685551696,0.1956948147206539,0.028397571852716883,-0.013409184431087615,-0.15274201644559762,-0.1865901622591994,-0.2728962735762232
-0.26023247409426403,-0.26730770482285493,-0.0038847966581954723,0.29869568603459173,-0.1542308559903212,-0.16134475133572643,0.22219245404917723,0.028397571852716883,0.00421152978612476,-0.1327028352781157,-0.14214712747898875,-0.2217009406692237
-0.26023247409426403,-0.26730770482285493,-0.0038847966581954723,0.29869568603459173,-0.1542308559903212,-0.16134475133572643,0.22219245404917723,0.04733965482562133,0.03945295822054951,-0.11266365411063374,-0.11992561008888346,-0.19610327421572396
-0.22939523420777733,-0.26730770482285493,-0.03704627072869245,0.2809187806242042,-0.11732737128423046,-0.1804661290956217,0.1956948147206539,0.04733965482562133,0.00421152978612476,-0.1327028352781157,-0.14214712747898875,-0.19610327421572396
-0.22939523420777733,-0.20355785651515992,0.029276677412301503,0.24536496980342914,-0.1542308559903212,-0.10398061805604064,0.1956948147206539,0.04733965482562133,0.00421152978612476,-0.11266365411063374,-0.11992561008888346,-0.19610327421572396
-0.13688351454831724,-0.23543278066900744,-0.1033692188696864,0.20981115898265404,-0.025068659519003687,-0.19958750685551696,0.1956948147206539,0.04733965482562133,-0.013409184431087615,-0.1327028352781157,-0.16436864486909408,-0.19610327421572396
-0.16772075443480394,-0.20355785651515992,-0.03704627072869245,0.20981115898265404,-0.08042388657813976,-0.14222337357583117,0.16919717539213053,0.06628173779852578,0.00421152978612476,-0.0926244729431518,-0.14214712747898875,-0.14490794130872445
-0.19855799432129065,-0.20355785651515992,-0.0038847966581954723,0.2275880643930416,-0.11732737128423046,-0.12310199581593591,0.16919717539213053,0.06628173779852578,0.021832244003337137,-0.07258529177566987,-0.11992561008888346,-0.1193102748552247
-0.16772075443480394,-0.20355785651515992,-0.03704627072869245,0.20981115898265404,-0.08042388657813976,-0.14222337357583117,0.16919717539213053,0.08522382077143023,0.021832244003337137,-0.07258529177566987,-0.09770409269877815,-0.1193102748552247
-0.10604627466183056,-0.20355785651515992,-0.1033692188696864,0.17425734816187896,-0.00661691716595833,-0.1804661290956217,0.16919717539213053,0.10416590374433468,0.03945295822054951,-0.05254611060818793,-0.031039540528462233,-0.09371260840172496
-0.04437179488885716,-0.1716829323613124,-0.13653069294018336,0.12092663193071634,0.048738309893177734,-0.1804661290956217,0.1426995360636072,0.08522382077143023,0.03945295822054951,-0.05254611060818793,-0.031039540528462233,-0.06811494194822522
